"id","title","summary","venue","year","authors","citationCount","referenceCount","influentialCitationCount","url"
"f8baff7610d0483caec5dc6faf5bf486298eeb90","Large Language Models Are Reasoning Teachers","Fine-tune-CoT is proposed, a method that leverages the capabilities of very large LMs to generate reasoning samples and teach smaller models via ﬁne-tuning that enables substantial reasoning capability in small models, whereas previous prompt-based baselines exhibit near-random performance.","ArXiv",2022,"Namgyu Ho,Laura Schmid,Se-Young Yun",27,57,1,"https://www.semanticscholar.org/paper/f8baff7610d0483caec5dc6faf5bf486298eeb90"
"598d9b235f5ab148fc757240d9bc39a47b8eaf72","Program of Thoughts Prompting: Disentangling Computation from Reasoning for Numerical Reasoning Tasks","Under both few-shot and zero-shot settings, PoT can show an average performance gain over CoT by around 12% across all the evaluated datasets, and by combining PoT with self-consistency decoding, can achieve SoT performance on all math problem datasets and near-SoTA performance on ﬁnancial datasets.","ArXiv",2022,"Wenhu Chen,Xueguang Ma,Xinyi Wang,William W. Cohen",81,38,5,"https://www.semanticscholar.org/paper/598d9b235f5ab148fc757240d9bc39a47b8eaf72"
"6756fcd998caeb7b23702e08559e63710179334c","Reasoning with Language Model Prompting: A Survey","This paper provides a comprehensive survey of cutting-edge research on reasoning with language model prompting and introduces research works with comparisons and summaries and provides systematic resources to help beginners.","ArXiv",2022,"Shuofei Qiao,Yixin Ou,Ningyu Zhang,Xiang Chen,Yunzhi Yao,Shumin Deng,Chuanqi Tan,Fei Huang,Huajun Chen",36,204,0,"https://www.semanticscholar.org/paper/6756fcd998caeb7b23702e08559e63710179334c"
"780a7f5e8ba9b4b451e3dfee1bcfb0f68aba5050","Multimodal Chain-of-Thought Reasoning in Language Models","This work proposes Multimodal-CoT that incorporates language (text) and vision (images) modalities into a two-stage framework that separates rationale generation and answer inference so that answer inference can leverage better generated rationales that are based on multimodal information.","ArXiv",2023,"Zhuosheng Zhang,Aston Zhang,Mu Li,Hai Zhao,G. Karypis,Alexander J. Smola",36,41,0,"https://www.semanticscholar.org/paper/780a7f5e8ba9b4b451e3dfee1bcfb0f68aba5050"
"6b12de63704677cd205a4bec282c955b270a9066","Grounding Large Language Models in Interactive Environments with Online Reinforcement Learning","This paper considers an agent using an LLM as a policy that is progressively updated as the agent interacts with the environment, leveraging online Reinforcement Learning to improve its performance to solve goals.","ArXiv",2023,"Thomas Carta,Clément Romac,Thomas Wolf,S. Lamprier,Olivier Sigaud,P. Oudeyer",19,54,0,"https://www.semanticscholar.org/paper/6b12de63704677cd205a4bec282c955b270a9066"
"609fd0ffd05e6730287fcc603267c4cabcbe3e5a","Learning New Skills after Deployment: Improving open-domain internet-driven dialogue with human feedback","This work collects deployment data of human interactions, collects various types of human feedback, and studies various algorithms for improving from such feedback in order to make recommendations on which type of feedback and algorithms work best.","ArXiv",2022,"Jing Xu,Megan Ung,M. Komeili,Kushal Arora,Y-Lan Boureau,J. Weston",16,35,0,"https://www.semanticscholar.org/paper/609fd0ffd05e6730287fcc603267c4cabcbe3e5a"
"102e4c860e39a2bfd7bf3f03b9ad69aac7bf3b5f","Collaborating with language models for embodied reasoning","This work investigates how to combine complementary abilities in a single system consisting of a Planner, an Actor, and a Reporter, and presents a set of tasks that require reasoning, test this system's ability to generalize zero-shot and investigate failure cases, and demonstrates how components of this system can be trained with reinforcement-learning to improve performance.","ArXiv",2023,"I. Dasgupta,Christine Kaeser-Chen,Kenneth Marino,Arun Ahuja,Sheila Babayan,Felix Hill,R. Fergus",11,11,0,"https://www.semanticscholar.org/paper/102e4c860e39a2bfd7bf3f03b9ad69aac7bf3b5f"
"f9987cfce640d24037d2b27e03c4f1c9b5920c77","ALERT: Adapting Language Models to Reasoning Tasks","AlERT is introduced, a benchmark and suite of analyses for assessing language models’ reasoning ability comparing pre-trained and ﬁnetuned models on complex tasks that require reasoning skills to solve, and it is found that language models learn more reasoning skills such as textual entailment, abductive reasoning, and analogical reasoning during pretraining stage compared to pretraining state.","ArXiv",2022,"Ping Yu,Tianlu Wang,O. Yu. Golovneva,Badr AlKhamissi,Gargi Ghosh,Mona Diab,Asli Celikyilmaz",8,52,0,"https://www.semanticscholar.org/paper/f9987cfce640d24037d2b27e03c4f1c9b5920c77"
"53d128ea815bcc0526856eb5a9c42cc977cb36a7","Toolformer: Language Models Can Teach Themselves to Use Tools","This paper introduces Toolformer, a model trained to decide which APIs to call, when to call them, what arguments to pass, and how to best incorporate the results into future token prediction, which achieves substantially improved zero-shot performance across a variety of downstream tasks.","ArXiv",2023,"Timo Schick,Jane Dwivedi-Yu,Roberto Dessì,Roberta Raileanu,M. Lomeli,Luke Zettlemoyer,Nicola Cancedda,Thomas Scialom",151,54,1,"https://www.semanticscholar.org/paper/53d128ea815bcc0526856eb5a9c42cc977cb36a7"
"ada81a4de88a6ce474df2e2446ad11fea480616e","Socratic Models: Composing Zero-Shot Multimodal Reasoning with Language","This work shows that model diversity is symbiotic, and can be leveraged to build AI systems with structured Socratic dialogue – in which new multimodal tasks are formulated as a guided language- based exchange between different pre-existing foundation models, without additional language-based exchange.","ArXiv",2022,"Andy Zeng,Adrian S. Wong,Stefan Welker,K. Choromanski,F. Tombari,Aveek Purohit,M. Ryoo,V. Sindhwani,Johnny Lee,Vincent Vanhoucke,Peter R. Florence",153,144,5,"https://www.semanticscholar.org/paper/ada81a4de88a6ce474df2e2446ad11fea480616e"
